trial,word,color,color_code,congruent,stim_onset,stim_offset,resp_code,RT,resp_color
1,blue,green,2,0,9783.379552,9785.393349,10,0.951349669,2
2,green,green,2,1,9786.42681,9788.442604,10,0.591630797,2
3,green,blue,1,0,9789.45866,9791.476264,5,0.746446095,1
4,blue,green,2,0,9792.49405,9794.510164,10,0.657218176,2
5,red,green,2,0,9795.544715,9797.558972,10,0.584296211,2
6,blue,blue,1,0,9798.5791,9800.593281,5,0.631647057,1
7,green,blue,1,0,9801.612503,9803.626273,5,0.703468298,1
8,green,red,3,0,9804.643141,9806.659924,21,0.574497302,3
9,red,green,2,0,9807.677937,9809.692668,10,0.577182724,2
10,blue,red,3,1,9810.710693,9812.725925,21,0.611279748,3
11,red,blue,1,1,9813.74606,9815.760152,5,0.688706845,1
12,green,blue,1,0,9816.776193,9818.792771,5,0.761435229,1
13,blue,red,3,1,9819.809646,9821.825362,21,0.729103382,3
14,red,red,3,0,9822.845902,9824.859665,21,0.569421155,3
15,red,green,2,0,9825.875236,9827.891885,10,0.482359629,2
16,blue,blue,1,0,9828.908611,9830.926132,5,0.568544495,1
17,red,red,3,0,9831.944313,9833.959015,21,0.5151394,3
18,red,blue,1,1,9834.976485,9836.992203,5,0.648723372,1
19,blue,red,3,1,9838.010046,9840.025816,21,0.601616705,3
20,green,blue,1,0,9841.045711,9843.05849,5,0.588014228,1
21,red,green,2,0,9844.078494,9846.092703,10,0.683081116,2
22,green,blue,1,0,9847.110391,9849.124732,5,0.832877965,1
23,green,green,2,1,9850.144972,9852.158685,10,0.732013376,2
24,blue,blue,1,0,9853.178356,9855.192116,5,0.661829072,1
25,blue,red,3,1,9856.20969,9858.225491,21,0.592639912,3
26,green,blue,1,0,9859.244719,9861.25863,5,0.959241692,1
27,blue,red,3,1,9862.274904,9864.291609,21,0.765460715,3
28,green,green,2,1,9865.310071,9867.324861,10,0.655671053,2
29,red,red,3,0,9868.344171,9870.358555,21,0.482446737,3
30,green,green,2,1,9871.376277,9873.391148,10,0.619621343,2
31,blue,green,2,0,9874.412575,9876.42522,10,0.66749792,2
32,red,red,3,0,9877.440952,9879.458714,21,0.477413037,3
33,red,red,3,0,9880.479808,9882.491267,21,0.539138606,3
34,blue,green,2,0,9883.509246,9885.524172,10,0.576338419,2
35,red,blue,1,1,9886.542057,9888.557842,5,0.659640881,1
36,green,red,3,0,9889.577111,9891.591449,21,0.705286251,3
